0.000000000000000000e+00 3.500000000000000000e+03
6.750000000000000444e-01 2.516332203258744471e+01
1.125000000000000000e+00 8.384524572722116886e+01
1.574999999999999956e+00 5.593511487582745900e+01
2.024999999999999911e+00 5.568046571308565973e+01
2.475000000000000089e+00 5.365967569416969241e+01
2.925000000000000266e+00 4.746853764191867953e+01
3.375000000000000000e+00 4.876492824081126543e+01
3.825000000000000178e+00 4.585595801345435518e+01
4.275000000000000355e+00 4.602632664606106516e+01
